ev_id,make,model,year,model_year,electric_type,range_miles,base_price,msrp,battery_kwh,seats,drive_type,county,city,state,postal_code,legislative_district,vin,dol_vehicle_id,base_msrp_range
1,Nissan,Leaf,2023,2023,BEV,252,49184.17,49511.85,88.0,4,RWD,Port Paulport County,New Brittanyburgh,AZ,98784,VIN00000001,DOL000001,$35k-$45k
2,Toyota,Prius Prime,2023,2023,PHEV,31,84415.88,85330.49,14.2,5,RWD,New Donald County,Murphyborough,MD,99397,VIN00000002,DOL000002,$45k-$60k
3,Chevrolet,Bolt EV,2023,2023,BEV,241,59170.22,61971.51,108.0,7,FWD,Hensonview County,Port Joshua,NV,98179,VIN00000003,DOL000003,$80k-$120k
4,Kia,EV6,2023,2023,BEV,171,28701.02,28993.43,61.6,7,AWD,Tamaraborough County,New Bryantown,MA,99062,VIN00000004,DOL000004,$45k-$60k
5,Toyota,Prius Prime,2023,2023,PHEV,26,47855.74,50058.93,13.6,5,FWD,Arthurview County,West Sergio,NV,98904,VIN00000005,DOL000005,$45k-$60k
6,Rivian,R1T,2025,2025,BEV,240,30143.95,30857.95,43.0,5,AWD,Georgeview County,Johnshire,GA,98871,VIN00000006,DOL000006,$35k-$45k
7,Chevrolet,Bolt EV,2022,2022,BEV,152,40495.08,41315.77,70.5,4,FWD,Port Brooke County,Rhondaberg,NY,98907,VIN00000007,DOL000007,$60k-$80k
8,Rivian,R1S,2023,2023,BEV,214,91939.9,96179.25,68.3,5,FWD,New Robertchester County,East Deborah,MD,99471,VIN00000008,DOL000008,$45k-$60k
9,Toyota,Prius Prime,2023,2023,PHEV,28,41216.94,41575.81,11.0,5,RWD,Lake Richardtown County,Fieldsside,OR,99892,VIN00000009,DOL000009,$45k-$60k
10,Rivian,R1S,2022,2022,BEV,405,105843.54,106463.85,103.8,5,AWD,Claudiaport County,Dennisborough,VA,98148,VIN00000010,DOL000010,$60k-$80k
11,Tesla,Model 3,2024,2024,BEV,174,62681.63,63737.04,67.0,5,RWD,East Tyler County,South Sherylshire,CO,99666,VIN00000011,DOL000011,$60k-$80k
